Run_ID,Task_Type,Mode,Model,Epochs,Batch_Size,LR,Accuracy,Macro_F1,AUC,Off_By_1_Acc,Adj_Error_Ratio,Mid_Confusion_Ratio,MSE,MAE,Train_Time(s),Train_Speed(s/s),Eval_Time(s),Eval_Speed(s/s)
run_004,5_class,Regression,roberta-base,4,8,1e-05,0.6535,0.6526,N/A,0.9789,0.9391,0.4302,0.3496,0.4368,1161.8,136.86,9.55,525.94
run_004,binary,Regression,roberta-base,4,8,1e-05,0.9752,0.9751,N/A,N/A,N/A,N/A,0.0236,0.0491,985.59,129.35,7.75,515.0
run_003,3_class,Regression,roberta-base,3,8,1e-05,0.8334,0.7961,N/A,N/A,N/A,N/A,0.1395,0.226,927.6,128.56,10.22,491.61
run_004,3_class,Regression,roberta-base,4,8,1e-05,0.8308,0.7907,N/A,N/A,N/A,N/A,0.1436,0.223,1276.7,124.54,10.25,490.25
run_005,5_class,Regression,roberta-base,3,4,1e-05,0.6585,0.6552,N/A,0.9791,0.9388,0.44,0.3403,0.43,1676.08,71.15,19.23,261.29
run_005,binary,Regression,roberta-base,3,4,1e-05,0.978,0.9779,N/A,N/A,N/A,N/A,0.021,0.0467,1381.49,69.21,15.94,250.5
run_006,5_class,Regression,roberta-base,4,4,1e-05,0.6617,0.6578,N/A,0.9807,0.9429,0.4188,0.3462,0.4302,2232.59,71.22,19.89,252.66
run_006,binary,Regression,roberta-base,4,4,1e-05,0.9772,0.9771,N/A,N/A,N/A,N/A,0.0203,0.0385,1812.07,70.35,14.96,266.85
run_007,5_class,Classification,roberta-base,3,16,2e-05,0.6507,0.6504,N/A,0.9721,0.9202,0.4268,N/A,N/A,546.92,218.04,5.22,963.03
run_005,3_class,Regression,roberta-base,3,4,1e-05,0.8344,0.7925,N/A,N/A,N/A,N/A,0.1415,0.2162,1715.12,69.53,19.84,253.32
run_007,binary,Classification,roberta-base,3,16,2e-05,0.9632,0.9631,0.9937,N/A,N/A,N/A,N/A,N/A,448.57,213.15,4.11,971.45
run_008,5_class,Classification,roberta-base,4,16,2e-05,0.6501,0.6504,N/A,0.9759,0.9312,0.4238,N/A,N/A,704.87,225.57,5.02,1001.61
run_008,binary,Classification,roberta-base,4,16,2e-05,0.9657,0.9656,0.9936,N/A,N/A,N/A,N/A,N/A,591.03,215.7,4.01,994.73
run_007,3_class,Classification,roberta-base,3,16,2e-05,0.8259,0.7824,N/A,N/A,N/A,N/A,N/A,N/A,539.5,221.04,5.16,974.53
run_006,3_class,Regression,roberta-base,4,4,1e-05,0.8356,0.7864,N/A,N/A,N/A,N/A,0.1412,0.2152,2216.72,71.73,18.86,266.42
run_008,3_class,Classification,roberta-base,4,16,2e-05,0.8219,0.7703,N/A,N/A,N/A,N/A,N/A,N/A,718.13,221.41,5.09,987.42
run_009,binary,Classification,roberta-base,3,8,2e-05,0.9734,0.9734,0.995,N/A,N/A,N/A,N/A,N/A,726.43,131.62,7.73,516.67
run_009,5_class,Classification,roberta-base,3,8,2e-05,0.6792,0.6772,N/A,0.9785,0.933,0.4256,N/A,N/A,905.56,131.69,9.8,513.01
run_010,binary,Classification,roberta-base,4,8,2e-05,0.9752,0.9751,0.9967,N/A,N/A,N/A,N/A,N/A,931.2,136.9,7.47,534.71
run_010,5_class,Classification,roberta-base,4,8,2e-05,0.6746,0.6754,N/A,0.9801,0.9388,0.4318,N/A,N/A,1193.6,133.21,9.88,508.73
run_009,3_class,Classification,roberta-base,3,8,2e-05,0.8378,0.7988,N/A,N/A,N/A,N/A,N/A,N/A,910.46,130.98,9.89,508.22
run_010,3_class,Classification,roberta-base,4,8,2e-05,0.8354,0.7975,N/A,N/A,N/A,N/A,N/A,N/A,1192.71,133.31,9.58,524.33
run_011,5_class,Classification,roberta-base,3,4,2e-05,0.6848,0.6841,N/A,0.9795,0.935,0.435,N/A,N/A,1655.24,72.04,19.36,259.59
run_011,binary,Classification,roberta-base,3,4,2e-05,0.9762,0.9761,0.9971,N/A,N/A,N/A,N/A,N/A,1357.75,70.42,15.41,259.13
run_012,5_class,Classification,roberta-base,4,4,2e-05,0.6794,0.6802,N/A,0.9813,0.9417,0.4389,N/A,N/A,2279.15,69.76,19.13,262.72
run_012,binary,Classification,roberta-base,4,4,2e-05,0.977,0.9769,0.9972,N/A,N/A,N/A,N/A,N/A,1824.62,69.87,15.4,259.22
run_007,5_class,Regression,roberta-base,3,16,2e-05,0.6338,0.6329,N/A,0.9719,0.9234,0.4212,0.3872,0.4521,539.03,221.23,5.06,993.54
run_011,3_class,Classification,roberta-base,3,4,2e-05,0.8396,0.8025,N/A,N/A,N/A,N/A,N/A,N/A,1651.47,72.21,18.96,265.06
run_007,binary,Regression,roberta-base,3,16,2e-05,0.9674,0.9673,N/A,N/A,N/A,N/A,0.0303,0.0545,446.4,214.19,4.21,949.34
run_008,5_class,Regression,roberta-base,4,16,2e-05,0.6414,0.6384,N/A,0.9713,0.9201,0.4112,0.4037,0.4555,719.66,220.94,5.09,986.92
run_008,binary,Regression,roberta-base,4,16,2e-05,0.9654,0.9653,N/A,N/A,N/A,N/A,0.0327,0.0591,592.55,215.15,4.15,962.86
run_007,3_class,Regression,roberta-base,3,16,2e-05,0.8163,0.7675,N/A,N/A,N/A,N/A,0.1681,0.2397,556.01,214.47,5.32,943.89
run_012,3_class,Classification,roberta-base,4,4,2e-05,0.8416,0.803,N/A,N/A,N/A,N/A,N/A,N/A,2243.19,70.88,18.86,266.43
run_008,3_class,Regression,roberta-base,4,16,2e-05,0.8185,0.7761,N/A,N/A,N/A,N/A,0.1735,0.2329,717.99,221.45,5.08,989.54
run_009,5_class,Regression,roberta-base,3,8,2e-05,0.6647,0.6621,N/A,0.9777,0.9335,0.419,0.342,0.4269,888.69,134.19,10.02,501.57
run_009,binary,Regression,roberta-base,3,8,2e-05,0.9752,0.9751,N/A,N/A,N/A,N/A,0.024,0.0497,748.89,127.67,7.99,499.89
run_010,5_class,Regression,roberta-base,4,8,2e-05,0.6543,0.6518,N/A,0.9781,0.9367,0.4231,0.3503,0.4276,1166.31,136.33,9.51,528.18
run_010,binary,Regression,roberta-base,4,8,2e-05,0.9762,0.9761,N/A,N/A,N/A,N/A,0.0226,0.0471,998.15,127.72,8.12,491.8
run_009,3_class,Regression,roberta-base,3,8,2e-05,0.8364,0.7981,N/A,N/A,N/A,N/A,0.1413,0.2177,891.55,133.75,10.18,493.82
run_010,3_class,Regression,roberta-base,4,8,2e-05,0.8354,0.7964,N/A,N/A,N/A,N/A,0.1514,0.2387,1177.2,135.07,10.04,500.35
run_011,5_class,Regression,roberta-base,3,4,2e-05,0.6699,0.6676,N/A,0.9807,0.9415,0.4225,0.3372,0.4178,1691.9,70.48,19.41,258.85
run_011,binary,Regression,roberta-base,3,4,2e-05,0.9772,0.9771,N/A,N/A,N/A,N/A,0.0216,0.046,1384.82,69.04,15.54,256.87
run_012,5_class,Regression,roberta-base,4,4,2e-05,0.6627,0.6629,N/A,0.9807,0.9428,0.4501,0.3359,0.4278,2251.42,70.62,19.65,255.67
run_012,binary,Regression,roberta-base,4,4,2e-05,0.9767,0.9766,N/A,N/A,N/A,N/A,0.0222,0.0475,1812.35,70.34,15.37,259.72
run_001,5_class,Classification,bert-base-uncased,3,16,1e-05,0.63,0.6288,N/A,0.963,0.8999,0.4169,N/A,N/A,501.39,237.84,5.1,984.5
run_001,binary,Classification,bert-base-uncased,3,16,1e-05,0.9529,0.9528,0.9911,N/A,N/A,N/A,N/A,N/A,414.62,230.6,3.96,1009.33
run_011,3_class,Regression,roberta-base,3,4,2e-05,0.8388,0.7962,N/A,N/A,N/A,N/A,0.1415,0.2101,1680.72,70.95,19.61,256.28
run_002,5_class,Classification,bert-base-uncased,4,16,1e-05,0.6275,0.6255,N/A,0.9628,0.9001,0.4087,N/A,N/A,682.15,233.09,5.11,982.91
run_002,binary,Classification,bert-base-uncased,4,16,1e-05,0.9504,0.9503,0.9905,N/A,N/A,N/A,N/A,N/A,577.7,220.68,4.2,949.64
run_001,3_class,Classification,bert-base-uncased,3,16,1e-05,0.8072,0.7631,N/A,N/A,N/A,N/A,N/A,N/A,510.55,233.57,5.08,989.55
run_012,3_class,Regression,roberta-base,4,4,2e-05,0.8384,0.8011,N/A,N/A,N/A,N/A,0.1493,0.2134,2246.55,70.78,19.25,261.09
run_002,3_class,Classification,bert-base-uncased,4,16,1e-05,0.8074,0.763,N/A,N/A,N/A,N/A,N/A,N/A,694.05,229.09,5.07,990.85
run_003,5_class,Classification,bert-base-uncased,3,8,1e-05,0.6515,0.6505,N/A,0.9753,0.9292,0.4352,N/A,N/A,859.91,138.68,10.06,499.48
run_003,binary,Classification,bert-base-uncased,3,8,1e-05,0.9672,0.9671,0.994,N/A,N/A,N/A,N/A,N/A,722.78,132.29,7.89,506.13
run_004,5_class,Classification,bert-base-uncased,4,8,1e-05,0.6523,0.6516,N/A,0.9743,0.9262,0.4282,N/A,N/A,1151.53,138.08,9.81,512.37
run_004,binary,Classification,bert-base-uncased,4,8,1e-05,0.9684,0.9683,0.9935,N/A,N/A,N/A,N/A,N/A,928.55,137.29,7.57,527.24
run_003,3_class,Classification,bert-base-uncased,3,8,1e-05,0.8225,0.7769,N/A,N/A,N/A,N/A,N/A,N/A,835.64,142.71,9.42,533.21
run_004,3_class,Classification,bert-base-uncased,4,8,1e-05,0.8241,0.7793,N/A,N/A,N/A,N/A,N/A,N/A,1201.92,132.29,10.18,493.82
run_005,5_class,Classification,bert-base-uncased,3,4,1e-05,0.6617,0.6606,N/A,0.9763,0.93,0.4382,N/A,N/A,1613.47,73.91,18.99,264.65
run_005,binary,Classification,bert-base-uncased,3,4,1e-05,0.9699,0.9698,0.9952,N/A,N/A,N/A,N/A,N/A,1328.38,71.98,15.51,257.35
run_006,5_class,Classification,bert-base-uncased,4,4,1e-05,0.6611,0.6591,N/A,0.9761,0.9295,0.4334,N/A,N/A,2215.86,71.75,19.71,254.89
